"","institutionCode","species","occurrenceStatus","eventTime","year","month","day","decimalLongitude","decimalLatitude","elevation","identificationVerificationStatus","identifier","datasetKey","provider"
"1","iNaturalist","Lutra lutra","PRESENT","15:26:55+01:00",2021,1,24,3.792841,43.816359,NA,NA,"68608477","50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist Research-grade Observations"
"2","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,13,3.46399,43.38562,NA,"Probable","5b4c3803-50a9-465a-a1a7-35c4a4d7d508","c32f3129-a4dc-4e36-86d4-a35cc5cfb04d","LIGNE NOUVELLE MONTPELLIER PERPIGNAN DUP PHASE 1 - Inventaire non protocolé Mammifères"
"3","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,8,3.28983,43.3172,NA,"Probable","cc533347-f1e3-4cf3-9f55-2c7cf60500de","c32f3129-a4dc-4e36-86d4-a35cc5cfb04d","LIGNE NOUVELLE MONTPELLIER PERPIGNAN DUP PHASE 1 - Inventaire non protocolé Mammifères"
"4","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,12,3.83235,43.57202,NA,"Probable","3210c6f2-391a-4cc4-b497-b915bbc9d7d4","c32f3129-a4dc-4e36-86d4-a35cc5cfb04d","LIGNE NOUVELLE MONTPELLIER PERPIGNAN DUP PHASE 1 - Inventaire non protocolé Mammifères"
"5","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,17,3.92099,44.06548,NA,"Probable","754868ad-58ef-41eb-b3c7-01900054452d","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"6","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,31,3.85823,43.52581,NA,"Probable","771217f4-6470-41eb-b3c7-01900054c695","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"7","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,23,3.57398,43.63949,NA,"Probable","b00a76e4-907d-41eb-adf1-041006068357","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"8","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,6,3.54517,43.75695,NA,"Probable","33310104-5041-41eb-bfb5-01900053f23b","256b9877-cef3-4e8e-84e1-f23299c49655","UAR PatriNat - opportunistic data Faune-France"
"9","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,31,3.30793,43.30373,15,"Non réalisable","b2343db5-646f-41eb-b3c7-01900054c693","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
"10","UAR PatriNat","Lutra lutra","PRESENT",NA,2021,1,31,3.80437,43.57108,13,"Probable","771217f4-6470-41eb-b3c7-01900054c695","c4101a28-b24a-4fd3-afa7-8e4abe0d9035","PNA Loutre-Lutra_lutra_donnees_Ecologistes_Euziere_2016-2022"
